"entity_name","entity_regno","entity_regdate","vatid","capital","entity_contact_type","entity_contact","entity_contact_address","entity_contact_address_city","entity_contact_address_country","entity_contact_address_zip","entity_contact_delivery_person","entity_contact_delivery_email","entity_contact_delivery_phone","entity_contact_note"
"ACorporation LTD OÜ",14592694,"24.10.2018","",2500,"ariregistriaddres","","Roosikrantsi tn 2-620k","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"ACorporation LTD OÜ",14592694,"24.10.2018","",2500,"email","agent@000.ee","","","","","","","",""
"ACorporation LTD OÜ",14592694,"24.10.2018","",2500,"notificationemail","magnustilgmann@gmail.com","","","","","","","",""
"ACROWN CONSULTING OÜ",16444302,"17.02.2022","",2500,"address","","Rua Pedroso Alvarenga, 1221,  Sao Paulo","","EE",5683000,"","","",""
"ACROWN CONSULTING OÜ",16444302,"17.02.2022","",2500,"ariregistriaddres","","Rua Pedroso Alvarenga, 1221,  Sao Paulo","","EE",5683000,"","","",""
"ACROWN CONSULTING OÜ",16444302,"17.02.2022","",2500,"email","alessandro@ironmanover50.com","","","","","","","",""
"ACROWN CONSULTING OÜ",16444302,"17.02.2022","",2500,"notificationemail","alessandro@ironmanover50.com","","","","","","","",""
"AdaraPlatform OÜ",14515222,"27.06.2018","",2500,"address","","","","","","","","",""
"AdaraPlatform OÜ",14515222,"27.06.2018","",2500,"ariregistriaddres","","","","","","","","",""
"AdaraPlatform OÜ",14515222,"27.06.2018","",2500,"email","AdaraPlatform OÜ","","","","","","","",""
"AdaraPlatform OÜ",14515222,"27.06.2018","",2500,"notificationemail","at@gmtlegal.com","","","","","","","",""
"AE Services Limited OÜ",14750199,"26.06.2019","",2500,"email","AE Services Limited OÜ","","","","","","","",""
"Aegion Solutions OÜ",14878249,"31.12.2019","",2500,"email","Aegion Solutions OÜ","","","","","","","",""
"AENX Platform Ltd OÜ",14549646,"22.08.2018","",2500,"address","","Roosikrantsi tn 2-614k","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AENX Platform Ltd OÜ",14549646,"22.08.2018","",2500,"ariregistriaddres","","Roosikrantsi tn 2-614k","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AENX Platform Ltd OÜ",14549646,"22.08.2018","",2500,"email","614K@000.ee","","","","","","","",""
"AENX Platform Ltd OÜ",14549646,"22.08.2018","",2500,"notificationemail","suki.suen@aeneasgroup.com","","","","","","","",""
"AffHub OÜ",16229934,"14.05.2021","EE102375099",2500,"address","","Roosikrantsi tn 2-1007","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AffHub OÜ",16229934,"14.05.2021","EE102375099",2500,"ariregistriaddres","","Roosikrantsi tn 2-1007","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AffHub OÜ",16229934,"14.05.2021","EE102375099",2500,"email","1007@000.ee","","","","","","","",""
"AffHub OÜ",16229934,"14.05.2021","EE102375099",2500,"notificationemail","ana@oledinero.es","","","","","","","",""
"Agence Sevigne OÜ",16124218,"18.12.2020","",2500,"address","","Roosikrantsi tn 2-1138","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Agence Sevigne OÜ",16124218,"18.12.2020","",2500,"ariregistriaddres","","Roosikrantsi tn 2-1138","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Agence Sevigne OÜ",16124218,"18.12.2020","",2500,"email","1138@000.ee","","","","","","","",""
"Agence Sevigne OÜ",16124218,"18.12.2020","",2500,"notificationemail","siddhu@siddhu.com","","","","","","","",""
"agroforestry systems MTÜ",80610882,"28.04.2022","","","address","","Roosikrantsi tn 2-1207","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"agroforestry systems MTÜ",80610882,"28.04.2022","","","ariregistriaddres","","Roosikrantsi tn 2-1207","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"agroforestry systems MTÜ",80610882,"28.04.2022","","","email","1207@000.ee","","","","","","","",""
"agroforestry systems MTÜ",80610882,"28.04.2022","","","notificationemail","oliebieg@gmail.com","","","","","","","",""
"Agromine OÜ",14656997,"07.02.2019","","2500 EUR","address","","Kaarli pst 1 // Roosikrantsi tn 2","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Agromine OÜ",14656997,"07.02.2019","","2500 EUR","ariregistriaddres","","Kaarli pst 1 // Roosikrantsi tn 2","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Agromine OÜ",14656997,"07.02.2019","","2500 EUR","email","bav@vcity.com.ua","","","","","","","",""
"Agromine OÜ",14656997,"07.02.2019","","2500 EUR","notificationemail","andrej91@mail.ru","","","","","","","",""
"AIC ESTONIA OÜ",14434127,"21.02.2018","EE102105638",100000,"address","","Rävala pst 8","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10143,"","","",""
"AIC ESTONIA OÜ",14434127,"21.02.2018","EE102105638",100000,"ariregistriaddres","","Rävala pst 8","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10143,"","","",""
"AIC ESTONIA OÜ",14434127,"21.02.2018","EE102105638",100000,"email","info@aicestonia.ee","","","","","","","",""
"AIC ESTONIA OÜ",14434127,"21.02.2018","EE102105638",100000,"phone","+81 8037044271","","","","","","","",""
"AKG Sports OÜ",11790637,"03.12.2009","",2556,"address","","Roosikrantsi tn 2-122","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10199,"","","",""
"AKG Sports OÜ",11790637,"03.12.2009","",2556,"ariregistriaddres","","Roosikrantsi tn 2-122","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10199,"","","",""
"AKG Sports OÜ",11790637,"03.12.2009","",2556,"email","artis.goba@inbox.lv","","","","","","","",""
"AKG Sports OÜ",11790637,"03.12.2009","",2556,"notificationemail","artis.goba@inbox.lv","","","","","","","",""
"AldarInvest OÜ",12119031,"10.06.2011","EE102047013",2500,"address","","Roosikrantsi tn 2-1125","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AldarInvest OÜ",12119031,"10.06.2011","EE102047013",2500,"ariregistriaddres","","Roosikrantsi tn 2-1125","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AldarInvest OÜ",12119031,"10.06.2011","EE102047013",2500,"email","post@aldarinvest.com","","","","","","","",""
"AldarInvest OÜ",12119031,"10.06.2011","EE102047013",2500,"notificationemail","post@aldarinvest.com","","","","","","","",""
"AldarInvest OÜ",12119031,"10.06.2011","EE102047013",2500,"phone","+372 55552434","","","","","","","",""
"AldarInvest OÜ",12119031,"10.06.2011","EE102047013",2500,"web","aldarinvest.com","","","","","","","",""
"AlephLink Solutions Ltd. OÜ",14625979,"13.12.2018","",12000,"address","","Väike-Paala tn 2","Tallinn","EE",11415,"","","",""
"AlephLink Solutions Ltd. OÜ",14625979,"13.12.2018","",12000,"ariregistriaddres","","Rännaku pst 12","Tallinn","EE",10917,"","","",""
"AlephLink Solutions Ltd. OÜ",14625979,"13.12.2018","",12000,"email","thirumurugan.manoharan84@gmail.com","","","","","","","",""
"AlephLink Solutions Ltd. OÜ",14625979,"13.12.2018","",12000,"phone","+357 97629443","","","","","","","",""
"Alevana Services OÜ",14853002,"20.11.2019","",0,"email","Alevana Services OÜ","","","","","","","",""
"Alfonso Leon Chaparro","","00.00.0000","",NULL,"skype","aleon@visaju.com","","","","","","","",""
"AlgoDriven OÜ",14711147,"24.04.2019","EE102287954","2500 EUR","address","","Roosikrantsi tn 2-756k","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AlgoDriven OÜ",14711147,"24.04.2019","EE102287954","2500 EUR","ariregistriaddres","","Roosikrantsi tn 2-756k","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AlgoDriven OÜ",14711147,"24.04.2019","EE102287954","2500 EUR","email","glenn@algodriven.xyz","","","","","","","",""
"AlgoDriven OÜ",14711147,"24.04.2019","EE102287954","2500 EUR","notificationemail","glenn@algodriven.xyz","","","","","","","",""
"Alpha Air Agency OÜ",12964720,"17.12.2015","","0 EUR","address","","Tornimäe tn 5","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10145,"","","",""
"Alpha Air Agency OÜ",12964720,"17.12.2015","","0 EUR","ariregistriaddres","","","","","","","","",""
"Alpha Air Agency OÜ",12964720,"17.12.2015","","0 EUR","email","mb@a2-cargo.com","","","","","","","",""
"Alpha Air Agency OÜ",12964720,"17.12.2015","","0 EUR","notificationemail","mb@a2-cargo.com","","","","","","","",""
"Alpha Air Agency OÜ",12964720,"17.12.2015","","0 EUR","phone","+370 61222106","","","","","","","",""
"AlphaNord Consulting OÜ",11424542,"12.09.2007","",3195,"address","","Roosikrantsi tn 2-161","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AlphaNord Consulting OÜ",11424542,"12.09.2007","",3195,"ariregistriaddres","","Roosikrantsi tn 2-161","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AlphaNord Consulting OÜ",11424542,"12.09.2007","",3195,"delivery","","15-3B Kalku Street","Riga","LV","LV-1050","Person: Alona Mala, Company: BDO Latvia","alona.mala@bdo.lv","+371 25759775",""
"AlphaNord Consulting OÜ",11424542,"12.09.2007","",3195,"email","janis.zelmenis@bdo.lv","","","","","","","",""
"AlphaNord Consulting OÜ",11424542,"12.09.2007","",3195,"notificationemail","ilze.rozentale@bdo.lv","","","","","","","",""
"ALT corporate UAB",306001350,"00.00.0000","LT100014877019",NULL,"address","","Laisv?s pr. 60","Vilnius","LT","LT-05120","","","",""
"ALT corporate UAB",306001350,"00.00.0000","LT100014877019",NULL,"vatidrequestaddress","","Laisv?s pr. 60","Vilniaus m.","LT","Vilniaus m. sav.","","","",""
"Ametheus Holdings Limited OÜ",14551270,"24.08.2018","EE102463985","2500 EUR","address","","Roosikrantsi tn 2-608k","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Ametheus Holdings Limited OÜ",14551270,"24.08.2018","EE102463985","2500 EUR","ariregistriaddres","","Roosikrantsi tn 2-608k","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Ametheus Holdings Limited OÜ",14551270,"24.08.2018","EE102463985","2500 EUR","email","gourab@blacktigergroup.com","","","","","","","",""
"Ametheus Holdings Limited OÜ",14551270,"24.08.2018","EE102463985","2500 EUR","notificationemail","info@ametheus.com","","","","","","","",""
"AMIM Management OÜ",14564812,"12.09.2018","","2500 EUR","address","","Tuukri tn 19-315","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10120,"","","",""
"AMIM Management OÜ",14564812,"12.09.2018","","2500 EUR","ariregistriaddres","","Tuukri tn 19-315","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10120,"","","",""
"AMIM Management OÜ",14564812,"12.09.2018","","2500 EUR","email","andrew.malyuga@gmail.com","","","","","","","",""
"AMYGDALAHEALTH OÜ",16032657,"19.08.2020","",2700,"address","","Männimäe/1","Pudisoo küla, Kuusalu vald, Harju maakond","EE",74626,"","","",""
"AMYGDALAHEALTH OÜ",16032657,"19.08.2020","",2700,"ariregistriaddres","","Männimäe/1","Pudisoo küla, Kuusalu vald, Harju maakond","EE",74626,"","","",""
"AMYGDALAHEALTH OÜ",16032657,"19.08.2020","",2700,"email","info@helloamygdala.com","","","","","","","",""
"Anavrit OÜ",14716819,"03.05.2019","","2500 EUR","address","","Roosikrantsi tn 2-779k","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Anavrit OÜ",14716819,"03.05.2019","","2500 EUR","ariregistriaddres","","Roosikrantsi tn 2-779k","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Anavrit OÜ",14716819,"03.05.2019","","2500 EUR","email","anavrit.ou@gmail.com","","","","","","","",""
"Anavrit OÜ",14716819,"03.05.2019","","2500 EUR","notificationemail","amitprasad531@gmail.com","","","","","","","",""
"AnitaSystems OÜ",14427914,"12.02.2018","EE102381821",2500,"address","","Roosikrantsi tn 2-57","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AnitaSystems OÜ",14427914,"12.02.2018","EE102381821",2500,"ariregistriaddres","","Roosikrantsi tn 2-57","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AnitaSystems OÜ",14427914,"12.02.2018","EE102381821",2500,"email","K057@000.ee","","","","","","","",""
"AnitaSystems OÜ",14427914,"12.02.2018","EE102381821",2500,"notificationemail","Ilham@anitasystems.com","","","","","","","",""
"Anmageavch OÜ",14146753,"04.11.2016","","2500 EUR","address","","Roosikrantsi tn 2-286","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Anmageavch OÜ",14146753,"04.11.2016","","2500 EUR","ariregistriaddres","","Roosikrantsi tn 2-286","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Anmageavch OÜ",14146753,"04.11.2016","","2500 EUR","email","k286@000.ee","","","","","","","",""
"Anmageavch OÜ",14146753,"04.11.2016","","2500 EUR","notificationemail","liater.co@gmail.com","","","","","","","",""
"Aragon Institution MTÜ",80416542,"20.04.2017","","0 EUR","address","","Roosikrantsi tn 2-238","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Aragon Institution MTÜ",80416542,"20.04.2017","","0 EUR","ariregistriaddres","","Roosikrantsi tn 2-238","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Aragon Institution MTÜ",80416542,"20.04.2017","","0 EUR","email","k238@000.ee","","","","","","","",""
"Aragon Institution MTÜ",80416542,"20.04.2017","","0 EUR","notificationemail","gabriela@mjppartners.ch","","","","","","","",""
"Aricom International Technologies OÜ",14379380,"28.11.2017","",0,"ariregistriaddres","","","","","","","","",""
"Aricom International Technologies OÜ",14379380,"28.11.2017","",0,"email","ironpro1@gmail.com","","","","","","","",""
"Aricom International Technologies OÜ",14379380,"28.11.2017","",0,"notificationemail","lilach@mellius.com","","","","","","","",""
"ArmCoin OÜ",14801778,"10.09.2019","",2500,"email","ArmCoin OÜ","","","","","","","",""
"ARMX Financial Services OÜ",14760482,"11.07.2019","",2500,"email","ARMX Financial Services OÜ","","","","","","","",""
"Arumas Ways OÜ",14230028,"28.03.2017","",2500,"ariregistriaddres","","Pärnu mnt 139e/2","Tallinn","EE",11317,"","","",""
"Arumas Ways OÜ",14230028,"28.03.2017","",2500,"email","info@incorporate.ee","","","","","","","",""
"AsfarEurope MTÜ",80579830,"03.04.2020","","0 EUR","address","","Roosikrantsi tn 2-1255","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AsfarEurope MTÜ",80579830,"03.04.2020","","0 EUR","ariregistriaddres","","Roosikrantsi tn 2-1255","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"AsfarEurope MTÜ",80579830,"03.04.2020","","0 EUR","email","1255@000.ee","","","","","","","",""
"AsfarEurope MTÜ",80579830,"03.04.2020","","0 EUR","notificationemail","development@asfareurope.eu","","","","","","","",""
"ASPACE OÜ",14588586,"17.10.2018","",2500,"address","","Roosikrantsi tn 2-461k","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"ASPACE OÜ",14588586,"17.10.2018","",2500,"ariregistriaddres","","","","","","","","",""
"ASPACE OÜ",14588586,"17.10.2018","",2500,"email","hks_102@naver.com","","","","","","","",""
"ASPACE OÜ",14588586,"17.10.2018","",2500,"notificationemail","contact@chakwon.com","","","","","","","",""
"Asset Markets EU OÜ",14727119,"21.05.2019","",12000,"address","","Fortuuna tn 1","Tartu city, Tartu city, Tartu county","EE",50603,"","","",""
"Asset Markets EU OÜ",14727119,"21.05.2019","",12000,"ariregistriaddres","","Fortuuna tn 1","Tartu linn","EE",50603,"","","",""
"Asset Markets EU OÜ",14727119,"21.05.2019","",12000,"email","AssetMarketsEu@gmail.com","","","","","","","",""
"Asset Markets EU OÜ",14727119,"21.05.2019","",12000,"notificationemail","f@lawact.ee","","","","","","","",""
"AssetCom OÜ",12162937,"16.09.2011","","2500 EUR","ariregistriaddres","","","","","","","","",""
"AssetCom OÜ",12162937,"16.09.2011","","2500 EUR","notificationemail","ivan@subhosting.net","","","","","","","",""
"ASTONCAP OÜ",16046323,"07.09.2020","",2500,"address","","Narva mnt 7","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10117,"","","",""
"ASTONCAP OÜ",16046323,"07.09.2020","",2500,"ariregistriaddres","","Narva mnt 7","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10117,"","","",""
"ASTONCAP OÜ",16046323,"07.09.2020","",2500,"email","office@aston.capital","","","","","","","",""
"ASTONCAP OÜ",16046323,"07.09.2020","",2500,"notificationemail","ea@infobank.eu","","","","","","","",""
"ASV Technologies OÜ",12995689,"15.02.2016","","2500 EUR","address","","Roosikrantsi tn 2-141","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"ASV Technologies OÜ",12995689,"15.02.2016","","2500 EUR","ariregistriaddres","","Roosikrantsi tn 2-141","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"ASV Technologies OÜ",12995689,"15.02.2016","","2500 EUR","email","beregovaya@const.dp.ua","","","","","","","",""
"ASV Technologies OÜ",12995689,"15.02.2016","","2500 EUR","notificationemail","bednyak@const.dp.ua","","","","","","","",""
"Azurans Advisory OÜ",14775785,"05.08.2019","",2500,"address","","Sõpruse pst 145","Kristiine linnaosa, Tallinn, Harju maakond","EE",13425,"","","",""
"Azurans Advisory OÜ",14775785,"05.08.2019","",2500,"ariregistriaddres","","Sõpruse pst 145","Tallinn","EE",13425,"","","",""
"Azurans Advisory OÜ",14775785,"05.08.2019","",2500,"email","numeri@numeri.ee","","","","","","","",""
"Azurans Advisory OÜ",14775785,"05.08.2019","",2500,"notificationemail","christopher@kandimaa.com","","","","","","","",""
"Audhild OÜ",16596035,"18.10.2022","EE102547403","2500 EUR","address","","Kaarli pst 1 // Roosikrantsi tn 2","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Audhild OÜ",16596035,"18.10.2022","EE102547403","2500 EUR","ariregistriaddres","","Kaarli pst 1 // Roosikrantsi tn 2","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Audhild OÜ",16596035,"18.10.2022","EE102547403","2500 EUR","email","wisoroy@gmail.com","","","","","","","",""
"Audhild OÜ",16596035,"18.10.2022","EE102547403","2500 EUR","notificationemail","janiskirsis23@gmail.com","","","","","","","",""
"Avicore OÜ",12723181,"22.09.2014","",2500,"address","","Pirita tee 20/4-318","Kesklinna linnaosa, Tallinn, Harju maakond","EE",12011,"","","",""
"Avicore OÜ",12723181,"22.09.2014","",2500,"ariregistriaddres","","Pirita tee 20/4-318","Tallinn","EE",12011,"","","",""
"Avicore OÜ",12723181,"22.09.2014","",2500,"email","peder.falk@aviro.eu","","","","","","","",""
"Avomet Trade OÜ",14009683,"08.03.2016","EE101862244","2500 EUR","address","","Roosikrantsi tn 2-56","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Avomet Trade OÜ",14009683,"08.03.2016","EE101862244","2500 EUR","ariregistriaddres","","Roosikrantsi tn 2-56","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"Avomet Trade OÜ",14009683,"08.03.2016","EE101862244","2500 EUR","email","office@avomet.ee","","","","","","","",""
"Avomet Trade OÜ",14009683,"08.03.2016","EE101862244","2500 EUR","notificationemail","ceo@avomet.ee","","","","","","","",""
"Avomet Trade OÜ",14009683,"08.03.2016","EE101862244","2500 EUR","web","www.avomet.ee","","","","","","","",""
"Axalerix Limited OÜ",14796304,"04.09.2019","",0,"ariregistriaddres","","","","","","","","",""
"Axalerix Limited OÜ",14796304,"04.09.2019","",0,"email","Axalerix Limited OÜ","","","","","","","",""
"Axalerix Limited OÜ",14796304,"04.09.2019","",0,"notificationemail","timea@gp-ca.com","","","","","","","",""
"Axe Holdings OÜ",14431198,"16.02.2018","",2500,"email","Axe Holdings OÜ","","","","","","","",""
"Axe Holdings OÜ",14431198,"16.02.2018","",2500,"notificationemail","tradefnnc@yahoo.com","","","","","","","","kinnitatud 12.02.19"
"B-Corp Services OÜ",14699860,"08.04.2019","","2500 EUR","ariregistriaddres","","","","","","","","",""
"B-Corp Services OÜ",14699860,"08.04.2019","","2500 EUR","notificationemail","mgn@fraternitedelalignee.com","","","","","","","",""
"B.O.B Bars Over Bottles OÜ",16629272,"08.12.2022","EE102577033","2500 EUR","address","","Roosikrantsi tn 2","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"B.O.B Bars Over Bottles OÜ",16629272,"08.12.2022","EE102577033","2500 EUR","ariregistriaddres","","Roosikrantsi tn 2","Kesklinna linnaosa, Tallinn, Harju maakond","EE",10119,"","","",""
"B.O.B Bars Over Bottles OÜ",16629272,"08.12.2022","EE102577033","2500 EUR","email","1242@000.ee","","","","","","","",""
"B.O.B Bars Over Bottles OÜ",16629272,"08.12.2022","EE102577033","2500 EUR","notificationemail","marcele@usebob.com.br","","","","","","","",""
"B.T.I. Capital OÜ",11983075,"25.08.2010","",2500,"address","","Roosikrantsi tn 2-175","Kesklinna linnaosa, Tallinn, Harju maakond","EE",11019,"","","",""
